"","x"
"1",4.491
"2",5.264
"3",4.9
"4",6.431
"5",5.682
"6",5.244
"7",4.8
"8",5.407
"9",4.912
"10",5.441
"11",6.3
"12",6.256
"13",4.966
"14",6.577
"15",4.5
"16",6.046
"17",4.6
"18",7
"19",5.04
"20",6.494
"21",4.381
"22",5.095
"23",6.6
"24",4.792
"25",4.64
"26",5.517
"27",4.616
"28",4.8
"29",4.6
"30",6.175
"31",5.99
"32",5.7
"33",4.93
"34",4.73
"35",4.522
"36",4.619
"37",4.945
"38",4.89
"39",5.141
"40",5.26
"41",5.766
"42",4.676
"43",5.101
"44",6.179
"45",7.093
"46",6.748
"47",6.43
"48",4.33
"49",6.53
"50",5.38
"51",6.596
"52",4.84
"53",6.4
"54",6.44
"55",5.47
"56",5.144
"57",6.942
"58",6.14
"59",4.82
"60",5.328
"61",5.15
"62",6.1
"63",5.72
"64",5.899
"65",5.237
"66",5.134
"67",5.16
"68",4.543
"69",4.952
"70",5.283
"71",5.756
"72",4.538
"73",6.25
"74",6.76
"75",6.24
"76",4.92
"77",5.66
"78",5.2
"79",4.83
"80",6.69
"81",5.12
"82",5.019
"83",4.76
"84",4.5
"85",4.7
"86",6.586
"87",5.26
"88",5.116
"89",5.24
"90",5.4
"91",4.875
"92",5.18
"93",5.35
"94",5.288
"95",5.7
"96",6.24
"97",4.643
"98",4.8
"99",4.41
"100",5.8
"101",4.642
"102",5.547
"103",5
"104",5.265
"105",5.022
"106",6.445
"107",5.166
"108",5.417
"109",5.038
"110",5.953
"111",6.8
"112",5.04
"113",5.266
"114",4.718
"115",4.8
"116",6.532
"117",6.65
"118",6.84
"119",5.25
"120",6.51
"121",5.22
"122",6.38
"123",7.25
"124",6.4
"125",5.81
"126",5.84
"127",5.03
"128",5.49
"129",7.16
"130",4.5
"131",4.41
"132",5.99
"133",6.97
"134",6.58
"135",5.13
"136",4.94
"137",5.01
"138",5.52
"139",6.65
"140",5.89
"141",5.75
"142",5.97
"143",6.46
"144",6.7
"145",6.2
"146",5
"147",5.846
"148",5.125
"149",5.1
"150",4.67
"151",4.837
"152",4.995
"153",5.7
"154",6.06
"155",5.966
"156",5.03
"157",5.767
"158",6.209
"159",6.77
"160",4.688
"161",4.49
"162",6.899
"163",6.9
"164",7.031
"165",6.782
"166",6.9
"167",5.74
